bedrooms,bathrooms,toilets,parking_space,title,town,state,price,listing_type
3,3,4,2,Semi Detached Bungalow,Ajah,Lagos,13000000,rent
5,4,5,5,Detached Duplex,Lekki,Lagos,70000000,rent
4,4,4,3,Terraced Duplexes,Lekki,Lagos,71000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,88000000,rent
5,6,6,8,Semi Detached Duplex,Ajah,Lagos,34000000,rent
5,5,6,7,Detached Duplex,Lekki,Lagos,175000000,sale
4,4,5,5,Semi Detached Duplex,Jabi,Abuja,120000000,rent
5,6,6,5,Detached Duplex,Ajah,Lagos,75000000,rent
5,5,5,4,Detached Duplex,Magodo,Lagos,230000000,sale
5,5,5,5,Detached Duplex,Lekki,Lagos,270000000,sale
4,5,5,4,Detached Duplex,Ajah,Lagos,50000000,rent
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,85000000,rent
4,4,5,3,Terraced Duplexes,Ajah,Lagos,38000000,rent
4,4,5,3,Detached Bungalow,Kafe,Abuja,22500000,rent
3,3,4,3,Semi Detached Bungalow,Lekki,Lagos,25000000,rent
4,5,5,4,Detached Duplex,Isheri North,Lagos,55000000,rent
4,5,5,8,Terraced Duplexes,Life Camp,Abuja,60000000,rent
5,5,7,5,Terraced Duplexes,Lekki,Lagos,58000000,rent
3,3,4,4,Detached Bungalow,Magodo,Lagos,30000000,rent
5,5,5,4,Detached Duplex,Wuse,Abuja,150000000,sale
5,5,6,4,Detached Duplex,Lokogoma District,Abuja,60000000,rent
6,6,7,3,Detached Duplex,Ikeja,Lagos,65000000,rent
3,3,4,4,Terraced Duplexes,Ajah,Lagos,65000000,rent
3,4,5,3,Terraced Duplexes,Ajah,Lagos,40000000,rent
4,5,5,4,Detached Bungalow,Gwarinpa,Abuja,60000000,rent
5,5,5,5,Detached Duplex,Lekki,Lagos,80000000,rent
5,5,6,7,Detached Duplex,Ajah,Lagos,85000000,rent
4,5,5,6,Detached Duplex,Katampe,Abuja,200000000,sale
5,5,6,4,Detached Duplex,Magodo,Lagos,120000000,rent
5,5,5,4,Detached Duplex,Ajah,Lagos,60000000,rent
3,3,4,4,Terraced Duplexes,Lekki,Lagos,75000000,rent
5,5,6,4,Semi Detached Duplex,Lekki,Lagos,80000000,rent
4,5,6,5,Detached Duplex,Ajah,Lagos,70000000,rent
4,4,5,6,Terraced Duplexes,Jabi,Abuja,150000000,sale
5,6,6,4,Detached Duplex,Ajah,Lagos,60000000,rent
5,5,6,3,Semi Detached Duplex,Ajah,Lagos,60000000,rent
4,5,5,4,Detached Duplex,Karsana,Abuja,46000000,rent
3,4,4,5,Block of Flats,Lugbe District,Abuja,17500000,rent
4,4,5,2,Semi Detached Duplex,Ajah,Lagos,44000000,rent
6,6,6,6,Detached Duplex,Lekki,Lagos,15000000,rent
3,3,4,4,Block of Flats,Victoria Island (Vi),Lagos,120000000,rent
5,5,6,1,Detached Duplex,Ikeja,Lagos,70000000,rent
5,4,6,8,Detached Duplex,Utako,Abuja,180000000,sale
5,5,6,4,Detached Duplex,Ikeja,Lagos,160000000,sale
3,3,4,6,Detached Bungalow,Ajah,Lagos,37000000,rent
4,4,5,4,Semi Detached Duplex,Lugbe District,Abuja,82000000,rent
3,4,5,3,Terraced Duplexes,Lekki,Lagos,120000000,rent
3,4,4,5,Terraced Duplexes,Gwarinpa,Abuja,55000000,rent
5,5,6,4,Detached Duplex,Ikeja,Lagos,260000000,sale
3,5,5,4,Detached Bungalow,Gwarinpa,Abuja,45000000,rent
5,5,5,4,Detached Duplex,Maitama District,Abuja,250000000,sale
3,3,4,4,Block of Flats,Jahi,Abuja,250000000,sale
5,5,6,4,Detached Duplex,Magodo,Lagos,80000000,rent
4,4,5,4,Terraced Duplexes,Wuye,Abuja,70000000,rent
5,5,6,6,Detached Duplex,Magodo,Lagos,170000000,sale
5,5,6,4,Detached Duplex,Lekki,Lagos,70000000,rent
3,4,4,3,Terraced Duplexes,Ajah,Lagos,33500000,rent
4,4,5,3,Terraced Duplexes,Life Camp,Abuja,65000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,50000000,rent
3,3,4,4,Detached Bungalow,Alimosho,Lagos,38000000,rent
3,3,4,3,Terraced Duplexes,Lekki,Lagos,30000000,rent
5,5,6,2,Detached Duplex,Lekki,Lagos,125000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,185000000,sale
5,5,6,7,Detached Duplex,Ajah,Lagos,95000000,rent
5,5,5,4,Terraced Bungalow,Ikeja,Lagos,110000000,rent
3,3,4,4,Block of Flats,Ikoyi,Lagos,180000000,sale
4,5,6,3,Semi Detached Duplex,Lekki,Lagos,58000000,rent
5,5,6,5,Detached Duplex,Ikeja,Lagos,200000000,sale
5,6,6,4,Semi Detached Duplex,Lekki,Lagos,80000000,rent
3,3,4,3,Detached Bungalow,Ibeju Lekki,Lagos,38000000,rent
4,5,6,2,Terraced Duplexes,Lekki,Lagos,130000000,rent
4,4,5,2,Terraced Duplexes,Lekki,Lagos,80000000,rent
5,5,6,5,Detached Bungalow,Ikotun,Lagos,20000000,rent
3,3,4,4,Terraced Duplexes,Galadimawa,Abuja,32000000,rent
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,52000000,rent
4,5,6,4,Semi Detached Duplex,Lekki,Lagos,78000000,rent
4,4,5,8,Detached Duplex,Kaura,Abuja,90000000,rent
4,5,5,4,Block of Flats,Ikeja,Lagos,55000000,rent
4,4,5,2,Block of Flats,Lekki,Lagos,113000000,rent
3,3,4,4,Detached Bungalow,Ibeju Lekki,Lagos,19500000,rent
3,3,4,2,Block of Flats,Lekki,Lagos,35000000,rent
4,4,5,4,Terraced Duplexes,Jabi,Abuja,170000000,sale
3,3,4,4,Terraced Duplexes,Ajah,Lagos,40000000,rent
5,6,5,1,Detached Duplex,Lokogoma District,Abuja,150000000,sale
5,4,6,4,Detached Duplex,Lekki,Lagos,65000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,78000000,rent
5,6,6,5,Detached Duplex,Lekki,Lagos,85000000,rent
6,6,7,4,Semi Detached Duplex,Gwarinpa,Abuja,75000000,rent
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,130000000,rent
5,6,6,4,Detached Duplex,Ikeja,Lagos,270000000,sale
4,5,5,1,Detached Bungalow,Kubwa,Abuja,25000000,rent
4,4,5,4,Terraced Duplexes,Guzape District,Abuja,100000000,rent
6,6,7,8,Detached Duplex,Isheri North,Lagos,137500000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,45000000,rent
5,6,5,4,Detached Duplex,Lekki,Lagos,130000000,rent
4,5,5,1,Terraced Duplexes,Kado,Abuja,250000000,sale
4,5,5,4,Detached Bungalow,Ikeja,Lagos,43000000,rent
4,4,5,2,Detached Duplex,Lekki,Lagos,88000000,rent
6,6,7,1,Detached Duplex,Ibeju Lekki,Lagos,40000000,rent
3,4,4,3,Detached Bungalow,Lugbe District,Abuja,40000000,rent
4,5,5,5,Detached Bungalow,Gwarinpa,Abuja,40000000,rent
5,5,6,5,Detached Duplex,Gwarinpa,Abuja,90000000,rent
4,5,5,4,Detached Bungalow,Lekki,Lagos,68000000,rent
5,6,6,5,Detached Duplex,Magodo,Lagos,200000000,sale
4,5,5,2,Terraced Duplexes,Gbagada,Lagos,65000000,rent
5,5,5,4,Detached Duplex,Isolo,Lagos,60000000,rent
3,5,6,4,Detached Bungalow,Lekki,Lagos,80000000,rent
5,5,4,5,Detached Duplex,Lekki,Lagos,110000000,rent
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,58000000,rent
3,4,4,5,Detached Bungalow,Gwarinpa,Abuja,55000000,rent
4,4,5,2,Terraced Duplexes,Ibeju Lekki,Lagos,30000000,rent
5,5,6,4,Detached Duplex,Ikeja,Lagos,52000000,rent
4,5,5,4,Semi Detached Duplex,Ikeja,Lagos,230000000,sale
5,5,6,8,Detached Duplex,Lekki,Lagos,85000000,rent
5,5,6,6,Detached Duplex,Gwarinpa,Abuja,120000000,rent
3,4,4,3,Detached Bungalow,Lekki,Lagos,37000000,rent
4,4,5,4,Semi Detached Duplex,Ikeja,Lagos,155000000,sale
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,73000000,rent
5,5,6,6,Detached Duplex,Ojo,Lagos,40000000,rent
5,5,5,4,Detached Duplex,Gwarinpa,Abuja,50000000,rent
5,5,6,3,Detached Duplex,Ajah,Lagos,55000000,rent
4,4,5,2,Terraced Duplexes,Ikoyi,Lagos,220000000,sale
4,4,5,2,Detached Duplex,Ajah,Lagos,47000000,rent
4,4,4,2,Terraced Duplexes,Lekki,Lagos,49000000,rent
5,5,6,3,Detached Duplex,Victoria Island (Vi),Lagos,120000000,rent
5,5,6,3,Detached Duplex,Lekki,Lagos,250000000,sale
5,5,6,7,Detached Duplex,Isheri North,Lagos,70000000,rent
4,4,5,6,Semi Detached Duplex,Lekki,Lagos,75000000,rent
4,4,5,3,Terraced Duplexes,Jahi,Abuja,75000000,rent
5,5,6,5,Detached Duplex,Ikeja,Lagos,198000000,sale
5,6,7,8,Detached Duplex,Lekki,Lagos,200000000,sale
4,4,5,3,Detached Duplex,Victoria Island (Vi),Lagos,150000000,sale
4,5,5,4,Terraced Duplexes,Lekki,Lagos,110000000,rent
6,6,7,6,Detached Duplex,Karsana,Abuja,120000000,rent
3,3,4,2,Semi Detached Duplex,Ajah,Lagos,45000000,rent
4,5,5,4,Terraced Duplexes,Lekki,Lagos,68000000,rent
3,3,4,3,Detached Duplex,Ibeju Lekki,Lagos,35000000,rent
4,4,5,4,Detached Duplex,Ajah,Lagos,92000000,rent
5,5,6,5,Detached Duplex,Ikoyi,Lagos,270000000,sale
5,5,6,4,Semi Detached Duplex,Ajah,Lagos,70000000,rent
5,6,6,4,Detached Duplex,Wuye,Abuja,165000000,sale
4,4,4,4,Detached Duplex,Lekki,Lagos,70000000,rent
4,4,5,7,Detached Duplex,Kafe,Abuja,33000000,rent
3,3,4,2,Semi Detached Bungalow,Ibeju Lekki,Lagos,18000000,rent
5,5,5,4,Detached Duplex,Gaduwa,Abuja,80000000,rent
3,4,4,4,Terraced Duplexes,Lekki,Lagos,65000000,rent
4,4,5,4,Terraced Bungalow,Ikeja,Lagos,70000000,rent
5,5,4,4,Detached Duplex,Ajah,Lagos,78000000,rent
4,4,5,3,Terraced Duplexes,Ajah,Lagos,35000000,rent
5,6,6,4,Detached Duplex,Lekki,Lagos,135000000,rent
5,6,6,3,Terraced Duplexes,Guzape District,Abuja,100000000,rent
4,5,5,4,Block of Flats,Ajah,Lagos,25000000,rent
5,5,6,4,Terraced Duplexes,Gaduwa,Abuja,40000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,63000000,rent
5,5,5,4,Detached Duplex,Guzape District,Abuja,130000000,rent
4,6,5,3,Detached Duplex,Ajah,Lagos,35000000,rent
4,4,4,2,Terraced Duplexes,Lekki,Lagos,40000000,rent
5,5,6,5,Semi Detached Duplex,Maryland,Lagos,90000000,rent
4,5,5,4,Semi Detached Duplex,Wuye,Abuja,135000000,rent
4,4,5,2,Detached Duplex,Lekki,Lagos,95000000,rent
4,4,5,3,Terraced Duplexes,Lekki,Lagos,43000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,180000000,sale
3,3,4,4,Detached Bungalow,Kubwa,Abuja,20000000,rent
5,5,6,4,Detached Duplex,Ibeju Lekki,Lagos,65000000,rent
5,6,6,6,Detached Duplex,Lekki,Lagos,170000000,sale
4,5,5,4,Semi Detached Duplex,Ajah,Lagos,50000000,rent
4,4,5,6,Detached Duplex,Lekki,Lagos,90000000,rent
5,5,6,6,Semi Detached Duplex,Wuse 2,Abuja,180000000,sale
4,5,6,3,Terraced Duplexes,Ikeja,Lagos,185000000,sale
4,5,5,4,Terraced Duplexes,Lekki,Lagos,46000000,rent
5,5,6,7,Detached Duplex,Lekki,Lagos,139999999,rent
6,6,7,4,Detached Duplex,Lekki,Lagos,195000000,sale
4,4,4,3,Terraced Duplexes,Lekki,Lagos,54000000,rent
4,4,5,5,Detached Duplex,Ikeja,Lagos,140000000,rent
4,4,4,2,Terraced Duplexes,Gbagada,Lagos,60000000,rent
4,4,5,4,Terraced Duplexes,Ikoyi,Lagos,135000000,rent
4,4,5,3,Semi Detached Duplex,Ajah,Lagos,75000000,rent
3,3,4,4,Detached Bungalow,Alimosho,Lagos,40000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,225000000,sale
3,3,4,4,Detached Bungalow,Ajah,Lagos,38000000,rent
4,4,4,5,Terraced Duplexes,Katampe,Abuja,85000000,rent
5,5,6,5,Detached Duplex,Magodo,Lagos,158000000,sale
3,3,4,4,Detached Bungalow,Magodo,Lagos,50000000,rent
5,5,6,5,Detached Duplex,Guzape District,Abuja,127000000,rent
4,5,6,4,Semi Detached Duplex,Lekki,Lagos,70000000,rent
3,3,4,2,Terraced Duplexes,Ajah,Lagos,36000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,87000000,rent
4,4,5,8,Semi Detached Duplex,Ajah,Lagos,83000000,rent
5,5,6,4,Terraced Duplexes,Gwarinpa,Abuja,55000000,rent
3,3,4,3,Semi Detached Duplex,Ajah,Lagos,45000000,rent
3,3,4,2,Terraced Duplexes,Lekki,Lagos,36000000,rent
3,5,5,4,Block of Flats,Isolo,Lagos,70000000,rent
4,5,5,1,Semi Detached Duplex,Apo,Abuja,70000000,rent
5,4,5,4,Terraced Duplexes,Ikoyi,Lagos,240000000,sale
4,4,5,8,Detached Duplex,Apo,Abuja,120000000,rent
4,5,5,4,Terraced Duplexes,Kaura,Abuja,60000000,rent
3,3,4,4,Detached Duplex,Ikeja,Lagos,70000000,rent
6,6,7,4,Detached Duplex,Lekki,Lagos,140000000,rent
5,5,6,4,Terraced Duplexes,Guzape District,Abuja,80000000,rent
5,5,6,8,Detached Duplex,Lekki,Lagos,130000000,rent
4,4,5,2,Terraced Duplexes,Victoria Island (Vi),Lagos,180000000,sale
3,4,5,4,Detached Bungalow,Ajah,Lagos,36000000,rent
5,5,6,6,Detached Duplex,Magodo,Lagos,125000000,rent
5,5,6,5,Detached Duplex,Ikeja,Lagos,180000000,sale
3,4,4,4,Detached Bungalow,Karu,Abuja,30000000,rent
4,4,5,4,Detached Duplex,Magodo,Lagos,150000000,sale
3,5,5,4,Detached Bungalow,Ikeja,Lagos,78000000,rent
5,5,6,8,Detached Duplex,Ikeja,Lagos,198000000,sale
4,4,5,4,Terraced Duplexes,Wuse,Abuja,150000000,sale
4,4,5,4,Detached Duplex,Maryland,Lagos,85000000,rent
3,5,5,4,Terraced Duplexes,Jahi,Abuja,65000000,rent
3,3,4,7,Block of Flats,Ikorodu,Lagos,32000000,rent
4,5,6,4,Detached Duplex,Lekki,Lagos,85000000,rent
4,4,5,3,Terraced Duplexes,Lekki,Lagos,35000000,rent
5,4,6,6,Detached Duplex,Lekki,Lagos,95000000,rent
5,5,6,4,Detached Duplex,Maryland,Lagos,110000000,rent
4,4,4,4,Terraced Duplexes,Lekki,Lagos,90000000,rent
4,4,5,4,Detached Duplex,Gudu,Abuja,50000000,rent
5,5,6,4,Detached Duplex,Ibeju Lekki,Lagos,125000000,rent
5,6,7,4,Detached Duplex,Lekki,Lagos,265000000,sale
5,5,5,4,Detached Duplex,Ojodu,Lagos,80000000,rent
4,4,5,3,Terraced Duplexes,Victoria Island (Vi),Lagos,150000000,sale
3,6,4,4,Semi Detached Bungalow,Ibeju Lekki,Lagos,15000000,rent
3,3,4,5,Semi Detached Bungalow,Ajah,Lagos,35000000,rent
3,4,4,3,Semi Detached Duplex,Lokogoma District,Abuja,40000000,rent
5,6,6,4,Detached Duplex,Magodo,Lagos,150000000,sale
4,4,5,6,Terraced Duplexes,Victoria Island (Vi),Lagos,130000000,rent
5,5,6,1,Detached Duplex,Ikeja,Lagos,250000000,sale
5,5,6,3,Detached Duplex,Lekki,Lagos,140000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,110000000,rent
5,5,6,7,Detached Duplex,Lekki,Lagos,100000000,rent
4,4,5,6,Detached Duplex,Ikeja,Lagos,52000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,110000000,rent
4,5,6,3,Terraced Duplexes,Katampe,Abuja,60000000,rent
5,6,6,5,Detached Duplex,Lekki,Lagos,175000000,sale
3,3,5,4,Detached Bungalow,Lekki,Lagos,15000000,rent
4,4,5,4,Semi Detached Duplex,Lugbe District,Abuja,70000000,rent
3,3,4,4,Detached Bungalow,Ikorodu,Lagos,10500000,rent
3,3,4,4,Block of Flats,Dakibiyu,Abuja,27500000,rent
4,5,5,4,Detached Duplex,Mbora (Nbora),Abuja,37000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,100000000,rent
4,4,5,2,Detached Duplex,Lekki,Lagos,80000000,rent
4,4,5,4,Detached Duplex,Amuwo Odofin,Lagos,50000000,rent
5,6,6,6,Detached Duplex,Lekki,Lagos,77000000,rent
5,5,5,2,Detached Duplex,Lekki,Lagos,120000000,rent
5,5,6,6,Detached Duplex,Victoria Island (Vi),Lagos,200000000,sale
3,3,4,3,Semi Detached Bungalow,Ajah,Lagos,28000000,rent
5,5,6,4,Terraced Duplexes,Gaduwa,Abuja,45000000,rent
4,5,5,6,Semi Detached Duplex,Katampe,Abuja,90000000,rent
4,4,5,2,Detached Duplex,Lekki,Lagos,55000000,rent
4,5,6,4,Detached Duplex,Ajah,Lagos,65000000,rent
3,3,6,3,Detached Bungalow,Ijede,Lagos,12000000,rent
3,3,4,1,Detached Bungalow,Bwari,Abuja,13000000,rent
4,5,5,4,Detached Duplex,Ikoyi,Lagos,150000000,sale
5,6,6,4,Terraced Duplexes,Durumi,Abuja,70000000,rent
3,3,4,4,Semi Detached Duplex,Lokogoma District,Abuja,38000000,rent
4,4,5,7,Detached Duplex,Ajah,Lagos,135000000,rent
6,6,7,1,Semi Detached Duplex,Lokogoma District,Abuja,30000000,rent
3,4,4,4,Detached Bungalow,Ibeju Lekki,Lagos,24000000,rent
4,5,5,4,Terraced Duplexes,Lekki,Lagos,90000000,rent
4,5,5,4,Terraced Duplexes,Lekki,Lagos,55000000,rent
4,4,5,6,Detached Duplex,Lekki,Lagos,275000000,sale
6,6,6,4,Detached Duplex,Ketu,Lagos,45000000,rent
5,6,6,8,Detached Duplex,Lekki,Lagos,105000000,rent
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,89000000,rent
3,3,4,4,Detached Bungalow,Gwarinpa,Abuja,28265000,rent
3,3,4,1,Block of Flats,Jahi,Abuja,35000000,rent
4,5,5,4,Terraced Duplexes,Lekki,Lagos,150000000,sale
5,5,6,5,Detached Duplex,Ajah,Lagos,90000000,rent
5,5,6,6,Detached Duplex,Lekki,Lagos,125000000,rent
5,5,6,4,Detached Duplex,Victoria Island (Vi),Lagos,250000000,sale
4,4,5,3,Terraced Duplexes,Jahi,Abuja,70000000,rent
4,4,4,3,Terraced Duplexes,Lekki,Lagos,53000000,rent
5,6,6,1,Detached Duplex,Lekki,Lagos,120000000,rent
4,4,5,4,Semi Detached Duplex,Gwarinpa,Abuja,80000000,rent
4,4,5,5,Detached Duplex,Ajah,Lagos,70000000,rent
4,5,5,8,Terraced Duplexes,Lokogoma District,Abuja,60000000,rent
5,5,6,1,Detached Duplex,Lokogoma District,Abuja,60000000,rent
4,4,5,4,Terraced Duplexes,Ajah,Lagos,40000000,rent
3,3,4,2,Block of Flats,Lekki,Lagos,48000000,rent
4,5,5,5,Detached Bungalow,Ikorodu,Lagos,20000000,rent
5,5,6,8,Detached Duplex,Galadimawa,Abuja,40000000,rent
3,3,4,1,Detached Bungalow,Lokogoma District,Abuja,38000000,rent
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,54000000,rent
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,76000000,rent
4,4,5,2,Detached Duplex,Ajah,Lagos,35000000,rent
5,5,6,5,Semi Detached Duplex,Ibeju Lekki,Lagos,47000000,rent
3,3,4,2,Detached Duplex,Ogudu,Lagos,40000000,rent
4,5,5,6,Semi Detached Duplex,Ajah,Lagos,55000000,rent
5,6,7,4,Detached Duplex,Lekki,Lagos,105000000,rent
3,5,5,4,Detached Bungalow,Alimosho,Lagos,40000000,rent
3,4,4,5,Terraced Duplexes,Ajah,Lagos,53000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,73000000,rent
5,5,5,4,Detached Duplex,Ilupeju,Lagos,150000000,sale
4,4,5,1,Detached Duplex,Lekki,Lagos,105000000,rent
5,5,6,5,Detached Duplex,Ajah,Lagos,85000000,rent
4,5,5,4,Semi Detached Duplex,Ikeja,Lagos,105000000,rent
4,5,5,4,Detached Duplex,Lugbe District,Abuja,38000000,rent
4,4,5,2,Semi Detached Duplex,Ajah,Lagos,50000000,rent
3,3,4,4,Detached Bungalow,Ajah,Lagos,15000000,rent
5,5,6,6,Detached Duplex,Lekki,Lagos,270000000,sale
3,5,4,4,Detached Bungalow,Gudu,Abuja,45000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,170000000,sale
4,5,5,3,Detached Duplex,Lekki,Lagos,86000000,rent
5,5,6,4,Detached Duplex,Guzape District,Abuja,155000000,sale
3,5,5,3,Terraced Duplexes,Lekki,Lagos,35000000,rent
4,4,5,4,Block of Flats,Ajah,Lagos,33000000,rent
5,6,7,4,Detached Duplex,Isheri North,Lagos,85000000,rent
5,5,6,4,Terraced Duplexes,Ajah,Lagos,80000000,rent
5,5,6,4,Detached Duplex,Gaduwa,Abuja,75000000,rent
4,5,5,3,Detached Duplex,Lekki,Lagos,67000000,rent
4,5,5,4,Detached Duplex,Ibeju Lekki,Lagos,35000000,rent
5,5,6,3,Detached Duplex,Ikeja,Lagos,165000000,sale
3,3,4,3,Semi Detached Bungalow,Ibeju Lekki,Lagos,15000000,rent
4,4,5,5,Detached Duplex,Ikeja,Lagos,125000000,rent
3,4,4,3,Semi Detached Duplex,Ibeju Lekki,Lagos,33000000,rent
4,4,4,4,Semi Detached Duplex,Lekki,Lagos,65000000,rent
3,3,4,4,Detached Duplex,Ibeju Lekki,Lagos,28000000,rent
5,5,6,2,Detached Duplex,Lekki,Lagos,170000000,sale
4,4,5,2,Terraced Duplexes,Gwarinpa,Abuja,29999000,rent
5,6,6,4,Detached Duplex,Ikeja,Lagos,150000000,sale
4,4,5,2,Terraced Duplexes,Lekki,Lagos,39999000,rent
3,5,5,3,Detached Duplex,Ibeju Lekki,Lagos,33000000,rent
4,5,5,4,Semi Detached Duplex,Lokogoma District,Abuja,60000000,rent
3,3,4,4,Terraced Duplexes,Lekki,Lagos,38000000,rent
4,5,6,4,Semi Detached Duplex,Lekki,Lagos,65000000,rent
4,4,5,2,Terraced Duplexes,Ajah,Lagos,40000000,rent
4,5,5,1,Block of Flats,Ikotun,Lagos,30000000,rent
3,3,4,4,Semi Detached Bungalow,Ibeju Lekki,Lagos,18000000,rent
5,5,6,4,Detached Duplex,Ikeja,Lagos,190000000,sale
4,5,6,8,Detached Duplex,Galadimawa,Abuja,65000000,rent
5,6,7,4,Detached Duplex,Wuye,Abuja,165000000,sale
4,4,5,4,Semi Detached Duplex,Idu Industrial,Abuja,35000000,rent
5,5,6,4,Detached Duplex,Ikoyi,Lagos,270000000,sale
5,5,6,7,Detached Duplex,Idu Industrial,Abuja,75000000,rent
5,5,6,6,Detached Duplex,Lekki,Lagos,180000000,sale
6,5,5,4,Detached Duplex,Isolo,Lagos,60000000,rent
4,6,6,3,Semi Detached Duplex,Lekki,Lagos,65000000,rent
4,5,5,4,Terraced Duplexes,Lekki,Lagos,45000000,rent
5,5,6,6,Detached Duplex,Lekki,Lagos,175000000,sale
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,55000000,rent
5,5,6,4,Terraced Duplexes,Lekki,Lagos,60000000,rent
4,5,5,4,Terraced Duplexes,Gwarinpa,Abuja,40000000,rent
6,6,7,4,Detached Duplex,Isheri North,Lagos,140000000,rent
4,5,5,3,Semi Detached Duplex,Lekki,Lagos,72000000,rent
4,4,5,4,Detached Duplex,Lokogoma District,Abuja,42000000,rent
3,4,5,4,Detached Bungalow,Lekki,Lagos,37000000,rent
5,5,6,5,Detached Duplex,Ikeja,Lagos,240000000,sale
5,6,7,5,Detached Duplex,Lekki,Lagos,75000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,98000000,rent
4,4,5,3,Terraced Duplexes,Victoria Island (Vi),Lagos,90000000,rent
4,4,4,3,Detached Bungalow,Ikeja,Lagos,50000000,rent
4,5,5,4,Detached Duplex,Yaba,Lagos,55000000,rent
5,5,6,6,Detached Duplex,Magodo,Lagos,240000000,sale
5,5,6,5,Detached Duplex,Lekki,Lagos,53000000,rent
4,4,5,4,Detached Duplex,Ikeja,Lagos,110000000,rent
4,4,5,4,Detached Duplex,Ajah,Lagos,62000000,rent
4,4,5,2,Terraced Duplexes,Ikeja,Lagos,75000000,rent
3,3,4,2,Detached Bungalow,Ajah,Lagos,28000000,rent
4,4,5,2,Semi Detached Duplex,Ajah,Lagos,45000000,rent
3,5,5,4,Terraced Duplexes,Ajah,Lagos,35000000,rent
3,5,5,4,Terraced Duplexes,Gwarinpa,Abuja,35000000,rent
5,5,6,4,Semi Detached Duplex,Ikoyi,Lagos,230000000,sale
4,4,5,4,Detached Duplex,Ikeja,Lagos,58000000,rent
4,5,5,4,Terraced Duplexes,Ajah,Lagos,100000000,rent
4,4,4,4,Detached Duplex,Surulere,Lagos,65000000,rent
4,4,5,5,Detached Bungalow,Ajah,Lagos,35000000,rent
5,5,6,4,Terraced Duplexes,Jahi,Abuja,75000000,rent
5,5,6,6,Detached Duplex,Ikeja,Lagos,120000000,rent
4,4,5,3,Block of Flats,Ikoyi,Lagos,270000000,sale
4,5,6,3,Terraced Duplexes,Lekki,Lagos,75000000,rent
4,4,5,5,Detached Duplex,Ogudu,Lagos,135000000,rent
5,5,6,6,Detached Duplex,Ajah,Lagos,65000000,rent
3,3,4,4,Detached Bungalow,Lugbe District,Abuja,25000000,rent
3,3,4,4,Terraced Duplexes,Ilupeju,Lagos,48000000,rent
4,4,5,4,Detached Duplex,Ajah,Lagos,78000000,rent
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,73000000,rent
4,4,5,3,Terraced Duplexes,Ikoyi,Lagos,230000000,sale
5,5,6,3,Detached Duplex,Lekki,Lagos,47000000,rent
4,4,5,3,Terraced Duplexes,Lekki,Lagos,65000000,rent
4,4,6,4,Terraced Duplexes,Lekki,Lagos,45000000,rent
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,77000000,rent
4,4,4,3,Semi Detached Duplex,Lekki,Lagos,60000000,rent
5,5,5,4,Terraced Duplexes,Life Camp,Abuja,87000000,rent
4,4,5,4,Detached Duplex,Magodo,Lagos,60000000,rent
3,3,4,4,Detached Duplex,Magodo,Lagos,35000000,rent
5,5,6,2,Terraced Duplexes,Galadimawa,Abuja,40000000,rent
5,6,7,4,Detached Duplex,Ajah,Lagos,77000000,rent
4,6,6,4,Detached Duplex,Lekki,Lagos,56025000,rent
4,5,6,3,Terraced Duplexes,Lekki,Lagos,70000000,rent
6,6,6,4,Detached Duplex,Gwarinpa,Abuja,130000000,rent
3,4,4,4,Detached Bungalow,Lugbe District,Abuja,20000000,rent
5,5,6,3,Detached Duplex,Wuye,Abuja,170000000,sale
4,5,5,3,Terraced Duplexes,Lekki,Lagos,83000000,rent
4,5,5,4,Terraced Duplexes,Ajah,Lagos,72000000,rent
6,6,7,5,Detached Duplex,Isheri North,Lagos,145000000,rent
5,5,6,5,Detached Duplex,Jahi,Abuja,200000000,sale
4,6,7,7,Detached Duplex,Ikorodu,Lagos,26000000,rent
5,5,6,6,Semi Detached Duplex,Ajah,Lagos,25000000,rent
