bedrooms,bathrooms,toilets,parking_space,title,town,state,price,listing_type
4,4,5,4,Semi Detached Duplex,Ikoyi,Lagos,240000000,sale
4,5,5,4,Detached Duplex,Lekki,Lagos,110000000,rent
3,4,4,4,Terraced Duplexes,Ikoyi,Lagos,240000000,sale
4,4,5,4,Terraced Duplexes,Life Camp,Abuja,60000000,rent
5,6,6,4,Detached Duplex,Lekki,Lagos,120000000,rent
4,4,5,4,Terraced Duplexes,Victoria Island (Vi),Lagos,115000000,rent
4,4,4,3,Terraced Duplexes,Ikeja,Lagos,180000000,sale
6,6,7,4,Detached Duplex,Lekki,Lagos,275000000,sale
4,4,5,7,Detached Duplex,Lekki,Lagos,190000000,sale
4,4,5,4,Terraced Duplexes,Magodo,Lagos,75000000,rent
5,5,6,1,Detached Duplex,Lekki,Lagos,250000000,sale
4,4,5,4,Semi Detached Duplex,Ajah,Lagos,48000000,rent
3,3,4,2,Detached Bungalow,Ajah,Lagos,42000000,rent
5,5,5,4,Detached Duplex,Magodo,Lagos,85000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,90000000,rent
4,4,5,3,Semi Detached Duplex,Lekki,Lagos,65000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,70000000,rent
3,3,4,3,Semi Detached Duplex,Magodo,Lagos,85000000,rent
4,4,5,4,Semi Detached Duplex,Lekki,Lagos,75000000,rent
4,5,5,4,Semi Detached Duplex,Lekki,Lagos,80000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,160000000,sale
3,4,5,6,Detached Bungalow,Ibeju Lekki,Lagos,20000000,rent
4,4,5,3,Detached Duplex,Lekki,Lagos,75000000,rent
5,5,6,3,Terraced Duplexes,Lekki,Lagos,65000000,rent
4,4,5,4,Terraced Duplexes,Dape,Abuja,45000000,rent
3,4,4,4,Terraced Duplexes,Lekki,Lagos,36000000,rent
3,3,4,4,Block of Flats,Ejigbo,Lagos,55000000,rent
4,4,5,4,Terraced Duplexes,Guzape District,Abuja,65000000,rent
5,5,6,8,Detached Duplex,Lokogoma District,Abuja,120000000,rent
4,5,5,3,Terraced Duplexes,Ikoyi,Lagos,240000000,sale
4,4,4,4,Detached Bungalow,Lokogoma District,Abuja,30000000,rent
3,3,4,4,Detached Bungalow,Ojodu,Lagos,16000000,rent
4,4,5,3,Terraced Duplexes,Lekki,Lagos,85000000,rent
4,4,5,4,Terraced Duplexes,Ajah,Lagos,45000000,rent
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,60000000,rent
